Month,Butterfat ,Protein ,FluidMilkPrice,SoftProductsPrice,
10/2017,$2.11 ,$2.66 ,$19.69 ,$15.95 ,
11/2017,$2.55,$2.34,$19.66 ,$15.32 ,
12/2017,$2.50 ,$2.03 ,$20.13 ,$14.49 ,
1/2018,$2.45 ,$1.66 ,$18.69 ,$14.11 ,
2/2018,$2.34 ,$1.62 ,$17.50 ,$13.44 ,
3/2018,$2.42 ,$1.80 ,$16.61 ,$13.88 ,
4/2018,$2.51 ,$1.78 ,$17.35 ,$14.03 ,
5/2018,$2.62 ,$1.86 ,$17.69 ,$14.47 ,
6/2018,$2.66 ,$1.74 ,$18.50 ,$15.48 ,
7/2018,$2.52 ,$1.48 ,$18.61 ,$15.20 ,
8/2018,$2.60 ,$1.62 ,$17.40 ,$15.07 ,
8/2018, $2.54 ,$2.00 ,$18.10 ,$15.13 ,
10/2018,$2.56 ,$1.72 ,$19.58 ,$15.54 ,